matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-39.8657222714929,-34.896821902428,-9.5565184884226,-204.716263832629,-210.221162293168,-136.769790912116
-101.235307335261,-78.055694916305,-38.6572352091544,-186.625454901378,-123.068983266209,-218.755736752599
-205.07876702981,-180.975274275083,-31.7800054083122,-118.035770673798,-66.8429691778379,-180.693896220259
-64.3303570224433,-91.494646971929,-70.9036904931595,-169.499380537179,-197.54235198781,-181.38372381123
-81.8791812567802,-114.792103204741,-16.7069849906116,-144.21663952059,-103.955776712878,-179.30906423764
-28.7183388158601,-30.6039695253118,-93.713786756962,-183.829611478012,-129.885355702302,-181.753615403239
-47.2160566607008,-116.040117942039,-80.4490164266707,-153.8417652508,-53.4134015605199,-120.652327334312
-10.7474647474963,-86.6141195551618,-121.479235206429,-197.467333383372,-152.02489300469,-30.5688417392022
-107.682927714277,-159.851588658182,-72.2869433758823,-90.4050399011937,-185.669069222128,-129.851951430799
-188.38980103183,-90.5046535446458,-104.250828592792,-133.956939382641,-62.3598004044188,-129.289504726939
-82.3354651653133,-109.594561915506,-81.3196872015745,-165.724542922588,-33.0473363955352,-177.623717777573
-148.827127820883,-112.443638414086,-69.4723728065037,-60.4781476789828,-114.490550626938,-127.234448420909
-152.734627016441,-173.611345226557,-37.2213303350965,-210.760445227142,-58.6444656016561,-19.2780757607053
-136.283736508555,-55.2199484078404,-68.6993740751953,-197.066972261279,-154.184978089153,-128.94783811551
-136.737918089045,-105.06593560944,-125.677485023691,-114.504331856771,-123.53117947807,-109.141976496055
-98.4606730565269,-75.8216013481816,-137.316712732502,-141.445735160135,-114.788759719038,-110.895661823528
-177.67522389439,-78.9897718017821,-96.2837137420726,-137.629686254822,-142.230119860249,-213.65414938373
-197.933746299062,-114.427362107965,-75.2411784260158,-84.9492978237479,-15.9374817058534,-182.333495981049
-189.35272880879,-15.3412183591281,-97.2277015847677,-118.090385819995,-147.364016761935,-196.401036831878
-137.624572728787,-83.0734829055598,-137.891649772671,-114.936994372815,-143.969450245491,-196.900245595979
