ensemble,sqexp
 [ 0.22249272  0.19515595]. , [ 0.23001227  0.31009517]. 
 [ 0.1951236   0.19221554]. , [ 0.23622013  0.80399419]. 
 [ 0.20517656  0.21715084]. , [ 0.97173296  0.98986805]. 
 [ 0.15901254  0.17494345]. , [ 0.90549643  0.09334452]. 
 [ 0.23033622  0.20450471]. , [ 0.95787233  0.40748008]. 
 [ 0.18047604  0.20533569]. , [ 0.14582718  0.15731859]. 
 [ 0.21151867  0.20602671]. , [ 0.66281094  0.64890471]. 
 [ 0.19904496  0.2127385 ]. , [ 0.47682571  0.65118792]. 
 [ 0.213559    0.18718174]. , [ 0.56016549  0.6252629 ]. 
 [ 0.19642348  0.20445988]. , [ 0.13320218  0.13098249]. 
 [ 0.21758763  0.24797174]. , [ 0.22619462  0.29796586]. 
 [ 0.20539064  0.20339581]. , [ 0.64713638  0.23303701]. 
 [ 0.20277234  0.20756218]. , [ 0.61030912  0.29537188]. 
 [ 0.23420659  0.21278816]. , [ 0.45726493  0.19009847]. 
 [ 0.25234719  0.20262449]. , [ 0.12635922  0.18067113]. 
