matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-9.09731057684116,-29.5089866027304,-31.2210197478378,-20.146215049197,-33.1698129490232,-11.5226090338625
-32.9042614807764,-36.5389866056367,-35.3971891360662,-37.8638026975583,-22.8606206538595,-39.6355280627991
-5.6056007517951,-5.77389678162066,-24.7520324142544,-42.2679293755109,-28.9610099794483,-38.8814288821266
-29.5151516227693,-37.5101138232403,-9.44672644049474,-40.6554208655287,-37.0144631694996,-10.5085565754214
-38.1890993544489,-16.4786804760457,-26.1455746158953,-29.9503023975781,-58.3490302516382,-27.9005089644116
-23.0340856273121,-22.2773094648025,-33.8924597216364,-25.0588826669391,-45.0803129550242,-19.9403403238227
-63.8340078015166,-5.36349099438,-8.80812332298986,-22.8629745546777,-31.6618580184242,-22.6904015127046
-24.3618703659781,-22.1264906208052,-20.0865684332802,-48.3024153975644,-28.8077720354605,-45.962907336152
-23.4110427883322,-34.794980719255,-26.7859950514773,-1.96562290360801,-39.6013199709814,-35.7657395269733
-16.932190274712,-18.27901145233,-19.685652082232,-15.6785171561912,-59.9948187942945,-36.0064064723029
-52.7715694311952,-35.5955846210392,-24.5042066841871,-44.4261819995163,-16.7342183590804,-23.256782854036
-1.08388749056756,-19.6285579997122,-24.1236656550836,-60.0315963965148,-16.5843321657785,-20.8254223564738
-25.7329225387414,-30.9221652504347,-27.2548112782007,-17.4603464785471,-38.7881931490584,-31.2905336585582
-37.3394858871385,-30.4521248846009,-35.6224798716536,-54.0096214699835,-17.8841313337832,-36.4759591916052
-39.2267317547656,-24.963579506349,-27.0842786564144,-20.8723178085829,-40.634639870392,-15.4369789200646
-35.3915705845048,-28.0870743014425,-25.4794220960253,-51.7473859127187,-25.2469687407163,-38.7355360596877
-35.6368885544444,-49.4768025425872,-28.4823161726206,-13.046600405299,-27.214685129083,-36.256591878325
-39.123580945639,-20.3535085212468,-18.9572324949366,-23.7105204608957,-52.7903905320421,-45.912570590057
-26.2635899639205,-25.5232082194319,-26.0569262636698,-37.3454441912758,-51.2599552771324,-39.2184254262219
-26.1116365486849,-35.5915757950116,-20.7982009934669,-22.2751379410562,-14.9586400699715,-44.7998433073762
-26.4093712359372,-32.9790153291957,-24.7461648659994,-22.5592792828657,-20.8822427863716,-35.2705111473696
-28.1262032715583,-23.760510656465,-23.0066415542443,-13.8149921097421,-27.0936321047054,-44.6744438491894
-38.4964440039703,-40.0173465135968,-36.3821044904389,-21.3615852476193,-22.1917905225579,-18.9008937111222
-19.1389180736788,-42.4734311941809,-24.9743676099401,-23.8078687988755,-29.4621696994739,-21.5595466741578
-29.5742694102573,-42.3493523004347,-13.9957756248138,-47.7040893778364,-6.42389129675436,-16.147681940573
-45.8785815224237,-26.5894547869222,-30.5020262040468,-21.2957613827514,-18.6106848520249,-32.1784690211446
-51.4816397899879,-29.1599073680374,-24.4750214317493,-68.253064368983,-20.6021979628577,-26.6460771506302
-0.159766357410135,-25.3903011339043,-31.9721535707352,-46.0656290218855,-23.1001093891778,-34.8748984863153
-32.269800555293,-23.9233692177252,-44.7854770859595,-38.7969964665566,-15.8024542114915,-41.4247597591014
-27.3307811625709,-19.9549108376165,-37.7270766534105,-38.1416353934826,-43.6762711119632,-46.6394994463571
-43.692124810155,-43.9565266462192,-11.2050735292957,-3.92604657645478,-14.7187719196958,-21.5056326223475
-31.665636383824,-25.7643817370516,-30.3103807703143,-31.7200634397878,-44.7911785427758,-35.4081848847117
-28.7467293450732,-66.0908665020633,-30.591881242996,-37.0985000483484,-48.2785768218249,-42.6695469003547
-42.8906473827267,-12.0537249131469,-13,-42.3450170602422,-18.4540850203237,-37.3878800110558
-37.1422115843787,-33.5468238641418,-20.9503911659501,-35.5301758926544,-20.8272374154557,-32.9958406140422
-38.0220752207097,-31.2028951070874,-39.9298801100849,-12.9374205809625,-2.09084524424309,-48.9619344281191
-44.2864983830824,-33.4457965921897,-32.7001712365472,-35.6884211385434,-5.69999389853303,-41.1004367630321
-35.4234286557953,-40.6023036737532,-15.609252086245,-32.3631107034427,-15.8904475361851,-34.2987955690411
-43.3332052414782,-16.4721196830558,-42.3982035144492,-35.3287651505818,-43.6719310827185,-35.8260884256417
-30.9774067908391,-41.4567135499389,-22.5907549141119,-17.3663729013537,-16.5903598995812,-39.3586542708427
-24.4353194485017,-32.8430412505034,-37.721065379938,-2.94022443723504,-26.2643499571493,-31.0984747784937
-31.4185351753534,-16.2740758656092,-21.3610367572121,-33.9282824182376,-39.1086171094392,-36.6655633363303
-31.8309900781933,-40.0703305417715,-40.6561889047413,-19.3876076631393,-5.00400256616474,-27.4507717137664
-34.2137579122902,-34.5693418675596,-5.85482741360145,-41.9455608729703,-1.9916685222048,-30.7866481241536
-39.3308987551563,-50.4873780162447,-14.3173862020781,-28.6306094249342,-12.8760515018531,-30.0771149278435
-46.4577314726758,-19.3311862037912,-2.52569286103337,-2.44986271960487,-45.2040814654945,-26.2735850577385
-21.2939824870001,-24.5436253271832,-23.0172750474417,-33.943690142951,-3.09671968124056,-22.5310351332104
-14.1661982458701,-23.4658349349899,-25.1018872106536,-51.9837662922681,-36.6966062052893,-22.6721319320119
-16.1919056870716,-39.4933213066033,-27.9437150875816,-17.7015396289127,-45.0559724430423,-4.52985813166066
-3.88611041839734,-31.3572929146468,-22.3700194579902,-1.72790798312627,-6.08756704762833,-20.9935547223204
-44.5356976444181,-57.5264003521645,-12.8209609668852,-17.5564507877707,-18.5050384285114,-37.163661376757
-47.170726928094,-28.7551383115994,-1.93210411503463,-32.0815878873426,-14.5850994031823,-25.4375354470138
-47.5021003040193,-25.9134806956385,-29.7056428694596,-46.5240404764767,-32.6311929794416,-24.2319456920444
