matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-141.823692903141,-148.836100138642,-89.1753521756245,-86.3794902045889,-64.7504913954534,-52.2701042215636
-141.823692903141,-148.836100138642,-89.1753521756245,-86.3794902045889,-64.7504913954534,-52.2701042215636
-141.823692903141,-148.836100138642,-89.1753521756245,-86.3794902045889,-64.7504913954534,-52.2701042215636
-141.823692903141,-148.836100138642,-89.1753521756245,-86.3794902045889,-64.7504913954534,-52.2701042215636
-86.6525403784439,-148.836100138642,-89.1753521756245,-86.3794902045889,-64.7504913954534,-52.2701042215636
-86.6525403784439,-141.286092592862,-89.1753521756245,-86.3794902045889,-64.7504913954534,-52.2701042215636
-86.6525403784439,-86.6525403784439,-89.1753521756245,-86.3794902045889,-64.7504913954534,-52.2701042215636
-86.6525403784439,-62.5085365525627,-85.5734847173773,-86.3794902045889,-64.7504913954534,-52.2701042215636
-44.8790009033424,-62.5085365525627,-73.5024537823171,-86.3794902045889,-64.7504913954534,-51.9744454023631
-44.8790009033424,-62.5085365525627,-44.0919196142151,-43.0763479970614,-64.7504913954534,-51.9744454023631
-44.8790009033424,-51.2591157365189,-27.0911579396681,-43.0763479970614,-43.4977673433444,-51.9744454023631
-44.8790009033424,-51.2591157365189,-27.0911579396681,-43.0763479970614,-43.4977673433444,-46.335685176042
-44.8790009033424,-51.2591157365189,-27.0911579396681,-43.0763479970614,-43.4977673433444,-46.335685176042
-44.8790009033424,-37.7521702417255,-27.0911579396681,-42.6426548613072,-43.4977673433444,-46.335685176042
-44.8790009033424,-37.7521702417255,-27.0911579396681,-42.6426548613072,-43.4977673433444,-46.335685176042
-44.8790009033424,-37.7521702417255,-27.0911579396681,-42.6426548613072,-43.4977673433444,-46.335685176042
-44.8790009033424,-37.7521702417255,-27.0911579396681,-35.6370933126883,-43.4977673433444,-19.5050762232338
-44.8790009033424,-23.1909449356989,-27.0911579396681,-24.7297981609676,-43.4977673433444,-19.5050762232338
-44.8790009033424,-9.61685027762079,-27.0911579396681,-24.7297981609676,-43.4977673433444,-14.2838618309952
-44.8790009033424,-9.61685027762079,-27.0911579396681,-24.7297981609676,-43.4977673433444,-14.2838618309952
-44.8790009033424,-9.61685027762079,-27.0911579396681,-24.7297981609676,-43.4977673433444,-14.2838618309952
-26.3419204081791,-9.61685027762079,-27.0911579396681,-24.7297981609676,-43.4977673433444,-14.2838618309952
-26.3419204081791,-9.61685027762079,-27.0911579396681,-24.7297981609676,-33.2989359005177,-14.2838618309952
-26.3419204081791,-9.61685027762079,-27.0911579396681,-24.7297981609676,-33.2989359005177,-14.2838618309952
-26.3419204081791,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-26.3419204081791,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-26.3419204081791,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-27.0911579396681,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-23.6475785435819,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-16.5554533012362,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-15.9374817058534,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-15.9374817058534,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-15.9374817058534,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-15.9374817058534,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-15.9374817058534,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-15.9374817058534,-14.2838618309952
-10.7474647474963,-9.61685027762079,-9.5565184884226,-24.7297981609676,-15.9374817058534,-14.2838618309952
