matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-48.7440763989398,-62.1104668580811,-1.34812878895662,-57.713045581355,-90.9110622712889,-27.5858570497019
-85.0050948615415,-110.672234193477,-0.530319242137866,-25.5668250455693,-50.6655713029774,-29.6756799353994
-44.6801564857983,-88.5655561428129,-0.604109140015119,-60.3540210710744,-57.9803428051148,-100.202021604532
-5.6436934901264,-33.4507465400539,-0.613596981989647,-39.1987138170237,-63.4943840158927,-140.199790795234
-57.2678174656291,-70.5036433771083,-0.292233094603304,-45.0966279970158,-2.40761088440115,-110.753787250443
-92.6970183474234,-59.3895294747512,-0.041253169082388,-9.13510606481656,-47.6710485347384,-3.19116655980799
-26.2155316839242,-90.1845961386145,-1.08473305832079,-102.772940341401,-26.6757833286533,-10.0631331528731
-53.0008889249831,-33.4848439689053,-1.36179396166801,-44.3311976682259,-100.117183658718,-92.0870481620744
-43.7593538036858,-37.2861667859236,-0.278639442018682,-122.204808253531,-31.5549512968556,-45.4735559082368
-99.8288551332182,-138.321336033707,-6.57922414580847E-05,-33.8048838674898,-54.2164985225572,-9.38860039085321
-148.929499027918,-65.1093493349472,-2.98181171820566E-06,-93.9513196587453,-35.498935011511,-2.6143196539503
-41.5528787282699,-63.2796018486602,-2.31895104563229E-07,-102.685063841861,-72.6854796276371,-38.1140807103584
-71.5454987616522,-43.655519109592,-1.96649301287266E-08,-1.31079173532843,-62.6673584945215,-66.6201448204609
-29.5978205897989,-63.7829362886227,-8.5075366751397E-09,-44.748074910476,-110.24636472795,-28.2077501616913
-9.80961445962098,-2.29582248481212,-2.3333764365141E-08,-2.09472575963498,-84.6445739283296,-61.255567048747
-54.5640328382558,-63.1289734019399,-1.68997159024613,-19.7147828036349,-122.110647889735,-2.84498151226364
-6.53258337514623,-44.7744762114888,-1.29578678342845E-07,-59.9264573314074,-2.20133187979262,-127.315434910882
-48.3349815552227,-89.8734772589662,-1.0468815225817E-07,-2.87346339656492,-6.65793231102611,-12.9767877909968
-83.5287531467539,-61.0055246437454,-1.70760646118733,-49.3149339330109,-30.5924879618517,-39.9218186680129
-121.345326588357,-14.3317177104556,-0.167905460519298,-58.7932937289632,-39.2397419044773,-1.44226674361518
-84.5441176320564,-48.0760926696974,-0.058749556983488,-80.8754647011832,-85.490067768973,-8.77174956840785
-58.5342116279892,-48.0008893451861,-0.738541684011451,-112.346866728152,-44.3213710099813,-5.6117997505218
-92.962191494591,-17.5035963254435,-1.69519566082903,-31.7349536885201,-20.7334334880696,-21.4155167723295
-19.4631150068825,-7.41393701208385,-1.68218426928197,-64.1824304649456,-106.535553278495,-11.8462322883735
-25.8261079052771,-128.988456387666,-1.38535928879912,-109.66633896652,-41.3045833477637,-13.7280798620465
-22.8626430744774,-35.0265932510644,-9.49491249513379E-07,-66.8402553764206,-8.34348915151718,-53.0438700340476
-100.122840981774,-22.7092732968145,-8.10569949161177E-07,-83.057915032445,-88.5907384872477,-57.015440748558
-37.8025542815584,-112.538213581826,-6.61965050552382E-07,-59.6651770921719,-65.9322768101348,-180.012054650528
-69.5049065457236,-96.7286385718912,-5.51571628593095E-07,-55.6826797330121,-68.4522091492113,-40.9541767201474
-74.4158488558212,-0.521572758562455,-0.887919367107565,-1.0942426801111,-86.0635112537141,-180.012054650528
-77.1344428764909,-52.663043726272,-5.31218355637186E-07,-83.3902560788583,-79.7788741192635,-74.697341394211
-76.1888576138284,-70.3581596076063,-0.271108687971478,-103.067245866507,-106.97160761005,-2.14127710988374
-51.4956905792777,-153.114270914461,-1.08330201700232,-116.222105110697,-14.1947712075129,-49.4145409660147
-96.4050659426379,-40.3991118712563,-0.518448447059193,-6.92119614784559,-14.3082065924734,-62.1164003961281
-58.3753866713076,-47.8007226632417,-0.867167251794947,-27.2803223948311,-52.5719790106487,-3.07384423089235
-13.1627490436801,-58.4007773206965,-1.36484846424106,-26.3782945396507,-66.4465863664174,-3.75915426115801
-48.1734993918705,-93.8658442533583,-1.09650024651954,-77.1286382782827,-71.961201643782,-91.8098194171078
-107.926712556941,-52.3695934674304,-0.64966109743357,-52.9123094794607,-123.196238029832,-12.8936044977814
-39.0696359421016,-155.172631022023,-0.299289665274941,-38.014496268806,-51.7735218496362,-82.5908602041917
-17.7885548523537,-106.779036847439,-0.440805805876363,-96.9725135819066,-58.1856001138876,-10.447505975997
-30.6716086401342,-53.6478268870479,-0.795233365973769,-65.2064468882013,-45.7709317819378,-16.5994009066915
-101.039904095946,-58.4277133284877,-1.23598256713646,-91.8556475430285,-67.7066295630982,-23.7766935310866
-159.64613645691,-92.6331076048523,-1.2877984745252E-07,-90.8919447492776,-83.8314222603043,-53.4829448250571
-152.434843421121,-67.7865453239947,-8.28714735723324E-08,-58.3682859339852,-16.535076508542,-100.899278339551
-26.6545145488642,-37.3258034170571,-1.48175537294109,-42.0466526091782,-131.378495307009,-93.119668382798
-88.1648306075188,-57.5082360879985,-0.010706457248524,-101.589051404904,-113.661199336635,-0.952351672588289
-10.9355921628228,-145.585962542449,-0.849306197967097,-85.7388763337633,-89.9261047253664,-136.098622968044
-60.8996144200986,-87.4905198463995,-0.718520101162087,-135.101900020306,-84.42724677759,-5.41505250030609
-19.6927951360575,-72.244717569571,-0.029789834078546,-97.5634132193681,-17.9100261529621,-1.33414472762526
-78.8476536639347,-59.50686122308,-3.92250234515501E-08,-12.6348945467405,-108.097528190566,-71.8381844943634
-33.9083884988577,-133.151235015238,-2.5928085789495E-08,-7.03144966858459,-79.4868502409175,-14.7489525823289
-14.7190984232513,-56.6821403517128,-3.6854458929092E-08,-93.086956189408,-71.4640414162776,-18.9684593270585
-86.0558243248121,-80.6895358081923,-2.96157288692811E-08,-35.4235845674201,-84.5666188315768,-94.8080901791195
-102.358743918292,-55.7141881583635,-1.58024075383518,-40.944282859842,-68.4099939420799,-3.94276927555737
-23.9278469503668,-136.863252778468,-0.951514894578812,-23.651850873859,-81.2666277617655,-1.28307948880126
-68.1661986863206,-10.4728451421776,-0.947374223638434,-16.9796680373187,-81.8574688158844,-81.6202370632915
-102.263757602804,-1.77723122509436,-0.150983993518011,-67.0584237508828,-53.482352891939,-9.05746963248886
-56.8045963370794,-111.711217751421,-1.80661487991149,-7.87864038831168,-67.3685155124512,-16.8130191391983
