iterate,x,y,value,best
1,-5.264371840946385,0.5445488649496806,-51.75932357661696,-51.75932357661696
2,-13.265401520183257,1.2034015964706342,-74.61865661932107,-51.75932357661696
3,-10.528663582889301,0.5185976256027844,-76.81218364474401,-51.75932357661696
4,-7.282633929372956,-0.7303507943071592,-112.3088891712782,-51.75932357661696
5,-8.883151690466331,-1.4442716546058716,-149.45599088133767,-51.75932357661696
6,-5.333766948443291,-1.9287525251046365,-148.81639123084318,-51.75932357661696
7,-9.381735507509124,1.8573439040925859,-98.85830921608225,-51.75932357661696
8,-8.132071099371743,-2.9076827303316133,-188.93634744061103,-51.75932357661696
9,-12.869575181456508,2.3261599594091713,-81.876133457436,-51.75932357661696
10,-7.760308089582418,0.24953127338521996,-59.41032019203596,-51.75932357661696
11,-8.457545399070565,-2.238769168305587,-171.88950374584044,-51.75932357661696
12,-6.334356771166153,-1.7468133698656214,-146.59907067652105,-51.75932357661696
13,-8.537093202193661,2.7486042041472842,-142.13375518117482,-51.75932357661696
14,-14.87112261408551,0.32992560522548287,-137.21930839645907,-51.75932357661696
15,-13.440233515579354,2.7014650668558406,-94.64234583478033,-51.75932357661696
16,-13.42450084352999,0.7200064256521426,-104.0614435349376,-51.75932357661696
17,-8.729778158763757,0.7573153925393883,-6.922748870135599,-6.922748870135599
18,-11.893929979058525,2.592388381096744,-108.54233206048863,-6.922748870135599
19,-13.759826496288154,2.6684543329318435,-88.0788431932525,-6.922748870135599
20,-12.325614871520076,1.925469863653115,-63.76194487406836,-6.922748870135599
21,-12.639002003832292,-1.6481625155773925,-180.1820513828209,-6.922748870135599
22,-11.093586229208988,2.0338329530244907,-89.62992931655589,-6.922748870135599
23,-5.191421930154309,-0.5106855356417586,-88.37668546452846,-6.922748870135599
24,-7.262296434815686,-1.3789538957825462,-138.09849605965024,-6.922748870135599
25,-13.178717385554327,-0.33042497961403416,-143.80977223753465,-6.922748870135599
26,-8.288414438311596,-2.3862539766700785,-175.32347956447373,-6.922748870135599
27,-9.79559682823891,0.5320275563550645,-65.3862635238074,-6.922748870135599
28,-11.882832018643924,1.739248770294413,-57.223006704402444,-6.922748870135599
29,-10.982024913973422,-1.9924041907300254,-178.85201054106594,-6.922748870135599
30,-14.3683684552467,2.112145052291382,-21.8714026753443,-6.922748870135599
31,-8.200561744836039,1.969561718409505,-113.90695737286171,-6.922748870135599
32,-14.996885681197856,2.0553634252718753,-44.061600964392056,-6.922748870135599
33,-12.99240452375787,1.3307555361953813,-59.802009243451835,-6.922748870135599
34,-8.340094291722874,-1.6502959755100135,-153.1788562700887,-6.922748870135599
35,-5.455982719151947,1.4965410281149403,-109.53806795194681,-6.922748870135599
36,-12.006852178032817,2.9686515847383186,-123.59217672128482,-6.922748870135599
37,-14.912947097894968,2.863500943348881,-80.02043882019129,-6.922748870135599
38,-7.795766201013007,0.6643307318973113,-23.810910593697958,-6.922748870135599
39,-12.06841557737335,-1.5437915496178445,-173.23321531618723,-6.922748870135599
40,-7.0583769182518195,-1.5219818734335064,-142.1627592800333,-6.922748870135599
41,-9.282054839579672,1.4025485393778592,-73.55873408699006,-6.922748870135599
42,-10.789602190779132,-1.8940275745483452,-174.88450191592105,-6.922748870135599
43,-14.301930149620697,2.2365221521641585,-43.75458437503983,-6.922748870135599
44,-14.485128178468345,2.012068808830131,-29.39115848327866,-6.922748870135599
45,-11.444184031084362,1.8430693863014485,-73.04703079402282,-6.922748870135599
46,-9.210599880134696,1.5867622585521994,-85.93872415154846,-6.922748870135599
47,-11.294643945019963,-2.041728962421201,-182.15077284761182,-6.922748870135599
